Compound,Pose,CNNscore,CNNaffinity,CNN_VS
DB11490,Pose_1,0.830977678,6.04352951,5.022038119144278
DB08091,Pose_2,0.759948254,6.60745764,5.02132589689696
DB14867,Pose_1,0.726053596,6.91326523,5.019401080343267
DB02963,Pose_1,0.868411899,5.77899313,5.018546398331254
DB06097,Pose_1,0.713053882,7.03809023,5.018537560367773
DB06605,Pose_1,0.776232064,6.46290207,5.016711813225973
DB07594,Pose_2,0.793986499,6.31771708,5.016182066021703
DB01030,Pose_1,0.806628704,6.21777868,5.015438758407231
DB12021,Pose_2,0.77054143,6.50861168,5.015154951221902
DB04587,Pose_1,0.837291181,5.98632479,5.012296953268677
DB08313,Pose_1,0.81315279,6.16379738,5.01210903654169
DB05678,Pose_1,0.705628395,7.10176802,5.0112091696149275
DB08457,Pose_1,0.731775045,6.84500313,5.009002473480892
DB12401,Pose_1,0.914292932,5.47715139,5.007720803370976
DB07007,Pose_1,0.879499614,5.69368315,5.007592132663304
DB08035,Pose_1,0.831032932,6.02523088,5.00716528418334
DB11372,Pose_2,0.813234866,6.15675879,5.006890909579972
DB17200,Pose_1,0.715271175,6.99926186,5.006370254734886
DB12078,Pose_1,0.816743731,6.12887335,5.005718886705469
DB08699,Pose_2,0.835965633,5.98714256,5.0050454200316405
DB01809,Pose_2,0.842739284,5.93832016,5.004455679801166
DB08622,Pose_1,0.902418494,5.54453707,5.003492792636572
DB11511,Pose_1,0.810114801,6.17604589,5.003306187144218
DB12385,Pose_1,0.819671094,6.1030426,5.002487604670605
DB13532,Pose_1,0.817680717,6.11602354,5.000954513376078
DB15489,Pose_1,0.814961493,6.13603449,5.000631829069894
DB00933,Pose_1,0.832100391,6.00839758,4.999589975601453
DB18090,Pose_1,0.80763185,6.189785,4.9990675106522495
DB07809,Pose_1,0.862990558,5.7926774,4.999025901739989
DB15449,Pose_1,0.76222837,6.55660629,4.997631325158448
DB06345,Pose_7,0.856374264,5.83461428,4.99661350975889
DB02980,Pose_1,0.839753628,5.94960928,4.996205978062467
DB07564,Pose_2,0.791096389,6.31342316,4.9945262641049695
DB02037,Pose_1,0.957129776,5.21746683,4.993792858285331
DB16987,Pose_1,0.840964079,5.93808556,4.993716653988599
DB14679,Pose_1,0.714388371,6.98943567,4.993171562500593
DB14945,Pose_2,0.887683451,5.62390375,4.992246288891842
DB01950,Pose_1,0.883716047,5.64823532,4.99143618951618
DB00484,Pose_3,0.866925716,5.75650406,4.990461403872407
DB08531,Pose_1,0.770562112,6.47621107,4.99032287985698
DB03378,Pose_1,0.930809855,5.36085367,4.989935427248918
DB12973,Pose_1,0.705638945,7.07102919,4.989593577695804
DB01538,Pose_1,0.828628957,6.02122545,4.9893617644953565
DB08064,Pose_1,0.714263678,6.9847827,4.98897658133277
DB04168,Pose_1,0.907515705,5.49730301,4.988888816718773
DB14924,Pose_1,0.848828018,5.87669992,4.988307545474359
DB08140,Pose_1,0.881876171,5.65625572,4.988117136550448
DB18268,Pose_1,0.763533711,6.53160524,4.987100787684246
DB18545,Pose_2,0.731616855,6.81601954,4.986714779473346
DB00249,Pose_1,0.884934068,5.63470984,4.986346700710829
DB09340,Pose_1,0.763105392,6.5341773,4.986265929914001
DB07332,Pose_2,0.811475873,6.14396667,4.985680717221153
DB11899,Pose_1,0.792653084,6.28961563,4.985483226294103
DB08300,Pose_2,0.855948269,5.82364845,4.984741810042033
DB01238,Pose_1,0.815817654,6.10950613,4.984242958075218
DB14888,Pose_1,0.805636168,6.1865983,4.984147347367315
DB04853,Pose_1,0.812507272,6.13350868,4.9835204053751205
DB07781,Pose_1,0.823773026,6.04908705,4.983074743715913
DB14769,Pose_1,0.86373502,5.76810026,4.982110193433105
DB14720,Pose_1,0.706847966,7.0479126,4.981802685855771
DB07194,Pose_2,0.779459298,6.39079046,4.981361045616697
DB08804,Pose_1,0.770727992,6.46305323,4.981256038147014
DB16169,Pose_2,0.70069617,7.10861015,4.9809759061281245
