molecule_name,delta_g_inter,dg_inter_sum,dg_inter_max,hbond_percent,moderate_attr_percent,vdw_percent,clash_percent,hbond_strength,clash_strength,favorable_strength,n_interaction_points,n_ligand_atoms
DB00933_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.633878,2.925749,0.051105,5.775076,5.167173,86.018237,3.039514,0.220073,0.125324,1.654099,329,52
DB00946_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.02855,3.901826,0.079235,7.764706,6.117647,83.058824,3.058824,0.549539,0.216834,2.271982,425,37
DB00950_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.382243,2.575302,0.031071,4.166667,4.807692,89.102564,1.923077,0.096058,0.053532,1.439611,312,76
DB00964_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.847214,2.81484,0.039895,2.821317,4.388715,91.84953,0.940439,0.092071,0.016659,1.529233,319,25
DB00966_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.570204,2.63929,0.032967,2.523659,5.047319,92.113565,0.315457,0.066592,0.005787,1.582199,317,69
DB00967_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,2.414011,1.939319,0.027923,2.479339,2.892562,94.628099,0.0,0.042778,0.0,1.123145,242,41
DB00977_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.683127,2.200114,0.065804,8.097166,4.453441,85.425101,2.024291,0.349847,0.078125,1.284949,247,46
DB00978_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.975523,3.443948,0.029092,1.154734,2.771363,95.842956,0.230947,0.036349,0.006758,1.852854,433,44
DB00993_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.927958,2.819743,0.027376,2.453988,7.055215,88.03681,2.453988,0.050156,0.057232,1.497489,326,26
DB01002_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.540252,1.929679,0.044251,11.0,5.5,82.5,1.0,0.397344,0.023736,1.323143,200,49
DB01012_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.980863,3.236674,0.025632,0.977995,1.711491,97.310513,0.0,0.039873,0.0,1.736887,409,48
DB01013_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.6576,3.514542,0.035742,5.19802,7.178218,86.881188,0.742574,0.167683,0.023964,1.997582,404,64
DB01021_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.160302,3.155193,0.086894,6.94864,4.531722,84.89426,3.625378,0.456078,0.202701,1.629522,331,28
DB01023_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.058334,2.525148,0.06698,7.586207,2.413793,88.965517,1.034483,0.373139,0.041278,1.644974,290,44
DB01025_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.090287,1.789472,0.048592,9.278351,9.278351,79.896907,1.546392,0.191366,0.020497,1.047521,194,36
DB01026_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.108637,3.442551,0.045575,2.457002,7.125307,89.92629,0.4914,0.094733,0.023941,2.029562,407,64
DB01030_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.274824,2.341434,0.031687,3.597122,6.834532,87.769784,1.798561,0.142379,0.047351,1.2584,278,54
DB01043_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,2.153847,2.115381,0.039325,8.62069,7.758621,81.465517,2.155172,0.25032,0.081634,1.184659,232,34
DB01046_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.81018,1.64514,0.033295,3.125,6.770833,88.541667,1.5625,0.05568,0.026751,0.988407,192,59
DB01048_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,3.102028,2.636827,0.050464,3.658537,4.573171,91.158537,0.609756,0.100783,0.018484,1.467159,328,41
DB01054_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.173138,2.758205,0.071425,10.035842,7.526882,79.569892,2.867384,0.409392,0.109301,1.793653,279,46
DB01063_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.554539,2.748155,0.059024,4.166667,2.97619,92.559524,0.297619,0.207228,0.00541,1.673849,336,58
DB01071_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.654376,1.960826,0.015393,0.0,0.775194,98.449612,0.775194,0.0,0.010445,1.103752,258,45
DB01081_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.351705,2.273662,0.024455,1.071429,5.357143,92.5,1.071429,0.017919,0.02459,1.390132,280,66
DB01088_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.150995,3.067459,0.032533,2.673797,4.278075,93.048128,0.0,0.075193,0.0,1.94104,374,58
DB01091_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,3.040619,2.219307,0.024262,0.722022,5.054152,92.779783,1.444043,0.010364,0.03081,1.292048,277,51
DB01092_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.835391,3.943827,0.080571,11.557789,3.517588,78.39196,6.532663,0.826925,0.471553,2.222396,398,85
DB01100_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.499131,2.573074,0.05734,5.102041,6.122449,87.414966,1.360544,0.177462,0.051643,1.711718,294,63
DB01101_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.091995,2.178904,0.033241,1.12782,3.759398,94.736842,0.37594,0.017429,0.005366,1.127134,266,47
DB01102_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.552378,2.943489,0.06473,7.598784,3.343465,86.62614,2.431611,0.415562,0.126171,1.761866,329,46
DB01106_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.981968,3.703061,0.11341,6.361323,2.544529,85.496183,5.597964,0.600997,0.339082,2.020038,393,60
DB01114_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.428175,1.675484,0.022689,0.469484,4.225352,94.835681,0.469484,0.005345,0.00822,1.103572,213,38
DB01134_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.863236,1.779995,0.037505,2.403846,9.134615,87.019231,1.442308,0.040626,0.020699,1.112606,208,68
DB01143_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,3.767942,4.146121,0.13648,13.477089,3.504043,75.202156,7.816712,1.172427,0.485238,2.404741,371,27
